DeviceID,UserID,DeviceType,OperatingSystem,TrustDevice
68,63,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
69,34,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
70,82,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
71,7,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
72,13,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
73,30,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
74,41,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
75,34,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
76,72,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
77,88,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
78,20,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
79,75,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
80,25,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
81,73,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
82,36,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
83,70,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
84,89,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
85,10,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
86,38,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
87,93,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
88,70,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
89,5,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
90,89,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
91,37,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
92,53,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
93,98,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
94,14,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
95,17,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
96,5,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
97,1,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
98,54,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
99,52,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
100,5,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
101,93,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
102,8,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
103,100,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
104,51,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
105,93,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
106,99,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
107,71,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
108,10,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
109,94,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
110,81,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
111,98,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
112,59,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
113,71,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
114,79,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
115,69,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
116,2,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
117,74,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
118,33,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
119,100,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
120,71,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
121,29,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
122,19,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
123,91,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
124,34,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
125,69,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
126,56,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
127,52,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
128,33,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
129,80,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
130,11,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
131,65,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
132,24,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
133,73,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
134,83,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
135,47,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
136,38,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
137,3,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
138,94,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Untrusted
139,17,Mobile,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
140,13,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
141,31,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
142,19,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
143,87,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
144,74,Desktop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
145,25,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
146,88,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
147,59,Laptop,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
148,27,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
149,2,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
150,24,Tablet,"['Windows', 'macOS', 'Linux', 'Android', 'iOS']",Trusted
