LoginID,UserID,DeviceID,LoginTime,IPAddress,Country,LoginMethod,LoginStatus,RiskLevel
47,17,139,2026-02-09 15:09:00,189.231.209.154,Canada,SSO,Success,High
48,48,57,2026-04-05 14:57:00,93.140.118.155,Canada,Password,Success,Low
49,72,76,2026-05-22 12:28:00,108.86.192.104,India,Password,Success,Low
50,80,67,2026-05-31 19:11:00,233.12.164.236,Canada,MFA,Success,Low
51,88,146,2026-01-25 06:13:00,206.78.2.30,UK,Password,Success,Medium
52,52,99,2026-03-28 04:06:00,233.1.55.155,India,Password,Success,Low
53,89,90,2026-02-18 03:36:00,9.28.95.16,USA,MFA,Success,Low
54,76,48,2026-06-14 04:41:00,244.90.79.204,USA,Password,Success,Low
55,14,94,2026-03-05 18:11:00,99.99.243.105,USA,Password,Success,Low
56,23,4,2026-05-26 17:19:00,130.2.29.213,UK,Password,Success,Low
57,53,92,2026-06-29 07:08:00,222.53.242.185,USA,Password,Success,Low
58,52,28,2026-03-31 18:17:00,126.217.16.36,India,MFA,Success,Low
59,50,13,2026-06-09 05:28:00,32.3.181.56,Canada,MFA,Success,Low
60,51,50,2026-02-14 16:10:00,84.57.5.196,India,Password,Success,Low
61,76,48,2026-06-22 16:18:00,138.152.206.104,USA,Password,Success,High
62,23,4,2026-03-13 23:44:00,78.193.172.235,India,MFA,Success,High
63,13,72,2026-02-26 22:27:00,29.96.64.51,UK,SSO,Success,Low
64,87,143,2026-01-13 05:59:00,35.76.40.141,UK,Password,Success,Low
65,86,42,2026-01-16 10:25:00,202.135.229.127,USA,SSO,Success,Medium
66,93,87,2026-05-01 04:16:00,254.11.195.29,India,MFA,Failure,Low
67,93,51,2026-05-21 09:09:00,122.76.43.151,UK,SSO,Success,Low
68,44,16,2026-04-05 13:34:00,34.14.174.90,Canada,Password,Failure,High
69,38,136,2026-01-13 17:29:00,183.106.190.244,Canada,SSO,Success,Low
70,14,94,2026-05-31 23:17:00,43.186.60.159,UK,MFA,Success,Low
71,94,109,2026-01-17 01:13:00,158.163.205.82,USA,MFA,Success,Medium
72,69,47,2026-02-05 08:34:00,17.94.173.133,India,Password,Success,Low
73,17,139,2026-03-30 06:18:00,61.176.75.101,UK,SSO,Success,Low
74,80,129,2026-02-19 07:25:00,78.38.18.53,UK,SSO,Success,Low
75,52,31,2026-03-26 23:15:00,157.183.125.19,India,Password,Success,Low
76,70,83,2026-02-11 03:10:00,133.236.143.45,Canada,SSO,Success,High
77,2,116,2026-03-13 11:16:00,23.127.36.237,Canada,SSO,Success,Low
78,54,98,2026-02-12 09:12:00,157.199.242.114,India,MFA,Success,Low
79,81,110,2026-03-02 12:23:00,96.150.90.91,Canada,SSO,Success,Low
80,89,84,2026-01-15 02:08:00,241.222.56.171,USA,Password,Success,Low
81,90,49,2026-04-19 11:20:00,139.142.149.134,UK,MFA,Success,High
82,24,150,2026-05-18 10:28:00,107.182.175.24,UK,SSO,Success,Low
83,38,26,2026-04-05 17:30:00,142.31.19.199,Canada,Password,Success,Low
84,74,144,2026-06-23 20:32:00,96.211.166.207,India,Password,Success,Low
85,7,41,2026-06-25 16:13:00,228.188.154.251,India,SSO,Success,Low
86,47,43,2026-05-04 01:55:00,50.214.42.47,UK,MFA,Success,Low
87,50,13,2026-01-28 16:40:00,177.141.112.110,India,MFA,Success,Low
88,20,46,2026-06-02 03:41:00,24.79.97.124,Canada,Password,Success,Low
89,63,68,2026-05-12 16:45:00,139.123.231.9,UK,MFA,Success,Low
90,75,79,2026-02-05 16:42:00,169.8.130.147,India,MFA,Success,Low
91,49,29,2026-03-12 00:33:00,69.72.62.221,Canada,MFA,Success,Low
92,44,16,2026-05-25 00:03:00,237.49.107.113,USA,MFA,Success,Low
93,57,62,2026-03-05 23:17:00,122.110.119.228,Canada,Password,Success,High
94,29,121,2026-05-13 09:18:00,11.247.229.22,India,Password,Success,Low
95,29,56,2026-06-10 18:01:00,64.162.50.226,India,Password,Success,Low
96,41,74,2026-01-21 07:39:00,77.244.237.70,India,Password,Failure,Medium
97,94,109,2026-01-25 15:01:00,173.48.55.112,UK,Password,Success,Low
98,76,48,2026-05-02 05:37:00,206.222.191.16,Canada,MFA,Success,Low
99,79,114,2026-05-08 11:23:00,245.199.27.201,UK,MFA,Success,Low
100,100,103,2026-03-05 06:44:00,138.173.7.176,UK,MFA,Success,Medium
101,64,52,2026-05-28 06:36:00,24.189.168.228,UK,SSO,Success,High
102,62,55,2026-03-05 07:53:00,174.197.74.34,India,SSO,Success,Low
103,76,48,2026-06-18 21:11:00,223.159.24.199,Canada,MFA,Success,Low
104,25,80,2026-02-20 23:39:00,20.243.44.57,India,Password,Success,Low
105,63,68,2026-05-24 12:11:00,189.0.101.158,UK,MFA,Success,Medium
106,47,43,2026-02-27 07:33:00,123.147.229.110,India,Password,Success,Low
107,22,11,2026-06-09 17:27:00,236.14.105.86,UK,SSO,Success,Low
108,29,56,2026-03-27 13:34:00,235.11.212.142,USA,MFA,Success,Low
109,100,7,2026-03-22 05:28:00,225.205.64.18,UK,SSO,Success,High
110,78,36,2026-04-15 04:08:00,110.105.137.131,India,Password,Success,Low
111,18,32,2026-03-18 20:34:00,134.74.162.80,UK,Password,Success,Medium
112,57,65,2026-05-05 12:56:00,149.158.6.49,UK,Password,Success,Low
113,80,67,2026-04-11 09:58:00,253.253.109.175,Canada,SSO,Success,Low
114,5,25,2026-03-19 15:15:00,163.196.235.78,USA,Password,Failure,Low
115,36,82,2026-06-07 04:15:00,247.122.177.224,USA,SSO,Success,High
116,27,148,2026-01-28 04:46:00,112.253.30.153,UK,SSO,Success,Low
117,57,66,2026-04-24 07:49:00,151.95.115.207,UK,Password,Success,Low
118,95,58,2026-03-17 05:45:00,152.18.141.190,India,Password,Failure,Low
119,73,133,2026-01-12 18:53:00,118.162.82.207,India,SSO,Success,Low
120,69,115,2026-01-03 12:07:00,72.120.175.230,UK,SSO,Success,Medium
121,55,45,2026-02-14 14:41:00,53.174.249.224,India,SSO,Success,Low
122,80,67,2026-01-31 01:36:00,59.48.1.116,USA,MFA,Success,Medium
123,5,96,2026-01-07 16:36:00,138.110.187.208,Canada,MFA,Success,Medium
124,95,58,2026-06-04 15:17:00,106.162.220.124,UK,MFA,Success,Medium
125,7,41,2026-04-15 18:41:00,177.55.164.178,Canada,MFA,Success,High
126,10,108,2026-01-04 14:26:00,59.154.86.181,USA,MFA,Success,Low
127,89,90,2026-03-02 00:22:00,184.32.212.59,India,Password,Success,Medium
128,8,102,2026-06-04 00:33:00,30.253.180.210,Canada,MFA,Success,Medium
129,56,18,2026-03-07 07:36:00,244.243.191.190,Canada,Password,Failure,Medium
130,15,12,2026-04-24 22:07:00,154.237.186.167,India,SSO,Failure,Low
131,91,123,2026-05-13 07:03:00,202.12.203.151,UK,Password,Success,Low
132,70,88,2026-01-07 19:10:00,190.230.5.158,USA,MFA,Success,Low
133,17,95,2026-01-06 21:32:00,226.77.229.228,India,MFA,Success,Low
134,59,147,2026-06-27 14:49:00,232.130.69.189,UK,SSO,Failure,Medium
135,94,15,2026-05-10 14:35:00,13.147.205.210,India,Password,Success,Low
136,34,69,2026-06-28 09:26:00,174.4.164.90,UK,SSO,Success,Low
137,52,127,2026-05-24 14:03:00,191.8.49.255,Canada,SSO,Success,Low
138,65,2,2026-03-20 07:59:00,172.10.83.131,Canada,SSO,Success,Low
139,65,131,2026-01-15 08:57:00,174.128.204.200,Canada,MFA,Success,Medium
140,20,78,2026-02-28 20:02:00,213.55.140.59,India,SSO,Success,Low
141,70,24,2026-01-17 19:36:00,82.169.197.178,Canada,Password,Success,Low
142,88,77,2026-01-14 03:47:00,234.202.101.43,USA,SSO,Success,Low
143,57,66,2026-06-02 02:03:00,168.46.39.213,Canada,SSO,Success,Medium
144,5,96,2026-06-22 10:10:00,137.103.48.255,USA,MFA,Success,High
145,38,136,2026-04-18 12:51:00,165.161.133.123,USA,Password,Success,Low
146,38,86,2026-02-22 10:37:00,17.184.138.3,USA,Password,Failure,Low
147,6,22,2026-06-16 01:09:00,139.241.231.36,USA,SSO,Success,Low
148,20,78,2026-01-12 16:02:00,177.230.146.152,India,MFA,Success,Low
149,6,22,2026-03-31 21:15:00,34.42.6.18,India,MFA,Success,Medium
150,80,67,2026-02-08 02:59:00,154.37.149.125,USA,Password,Success,Low
151,7,17,2026-02-10 17:24:00,170.216.127.229,Canada,Password,Success,High
152,52,31,2026-02-12 18:47:00,66.104.36.114,India,SSO,Failure,Low
153,34,75,2026-05-21 15:09:00,237.94.243.117,USA,SSO,Success,Low
154,11,130,2026-01-23 19:35:00,216.81.101.13,Canada,Password,Failure,Low
155,94,109,2026-01-14 10:18:00,21.45.237.165,UK,Password,Success,High
156,73,133,2026-01-09 18:29:00,25.236.47.229,Canada,MFA,Success,High
157,59,147,2026-02-15 23:43:00,235.247.81.250,India,Password,Success,High
158,76,48,2026-01-11 01:36:00,46.38.142.128,India,Password,Success,Low
159,27,148,2026-06-20 09:02:00,253.116.183.170,USA,MFA,Success,Medium
160,69,47,2026-02-21 13:56:00,207.40.199.150,India,MFA,Success,Low
161,52,99,2026-04-05 20:30:00,189.238.118.122,USA,MFA,Success,High
162,33,35,2026-04-06 18:01:00,209.115.29.190,USA,MFA,Success,Low
163,3,137,2026-05-15 20:21:00,177.21.8.249,India,Password,Success,High
164,5,25,2026-03-17 16:18:00,234.78.135.98,UK,MFA,Success,Low
165,36,82,2026-06-19 02:10:00,20.29.140.3,UK,MFA,Success,High
166,57,65,2026-04-15 04:43:00,204.19.171.113,UK,SSO,Failure,Low
167,37,61,2026-02-04 19:18:00,45.181.69.187,Canada,MFA,Success,Low
168,11,130,2026-05-18 10:37:00,104.142.219.151,India,Password,Success,Low
169,100,119,2026-06-11 14:29:00,51.100.95.104,Canada,Password,Success,Low
170,59,112,2026-01-05 23:27:00,230.93.208.56,UK,MFA,Failure,Medium
171,2,116,2026-06-17 00:34:00,70.147.144.238,India,SSO,Success,Low
172,83,134,2026-06-05 06:59:00,123.145.181.72,USA,Password,Success,Low
173,42,20,2026-03-01 12:36:00,157.91.250.61,Canada,MFA,Success,High
174,11,30,2026-06-18 07:46:00,203.203.171.170,UK,MFA,Success,Low
175,2,149,2026-05-11 17:09:00,8.84.115.208,India,SSO,Success,Low
176,25,145,2026-06-21 03:51:00,8.46.11.117,India,Password,Success,Medium
177,81,110,2026-04-18 06:29:00,203.153.132.155,USA,MFA,Failure,Medium
178,99,106,2026-06-02 11:50:00,193.110.121.100,Canada,SSO,Success,Low
179,50,13,2026-01-05 14:07:00,140.249.17.172,UK,Password,Success,Low
180,48,57,2026-04-20 07:15:00,86.130.118.157,India,SSO,Success,Low
181,70,88,2026-04-04 08:11:00,198.5.56.164,Canada,SSO,Success,Low
182,36,82,2026-01-29 08:58:00,211.136.209.106,Canada,MFA,Success,High
183,13,140,2026-01-30 22:13:00,131.86.169.113,India,MFA,Success,High
184,55,45,2026-04-17 04:36:00,163.191.178.36,UK,SSO,Success,Low
185,62,55,2026-05-25 22:07:00,127.27.28.254,India,MFA,Success,Low
186,70,24,2026-04-18 08:27:00,151.167.77.70,USA,MFA,Success,Low
187,38,86,2026-02-09 21:37:00,133.180.111.104,India,Password,Success,Low
188,37,61,2026-05-27 02:50:00,223.204.103.142,UK,SSO,Success,Low
189,56,18,2026-06-10 14:46:00,102.133.14.33,Canada,MFA,Success,Low
190,64,52,2026-02-02 16:42:00,26.94.84.80,India,MFA,Success,Low
191,8,102,2026-05-31 20:59:00,43.92.66.180,India,MFA,Failure,Low
192,10,108,2026-05-20 15:26:00,127.113.20.189,USA,SSO,Success,Low
193,66,8,2026-01-18 21:05:00,186.110.91.65,USA,SSO,Success,Low
194,8,102,2026-01-08 02:56:00,121.255.214.37,USA,MFA,Success,Low
195,23,4,2026-06-15 07:47:00,229.226.246.74,UK,SSO,Failure,Medium
196,11,130,2026-05-01 22:07:00,222.240.222.9,UK,MFA,Success,Low
197,66,8,2026-02-04 07:19:00,3.75.81.236,Canada,SSO,Success,Low
198,5,100,2026-02-01 05:27:00,128.72.181.13,USA,MFA,Success,Low
199,2,116,2026-03-06 12:42:00,252.192.158.157,UK,SSO,Success,Low
200,100,7,2026-01-14 09:08:00,88.236.249.42,India,MFA,Success,High
201,7,41,2026-03-23 17:00:00,148.57.90.19,Canada,MFA,Success,Low
202,71,113,2026-05-08 22:30:00,30.7.32.109,India,Password,Success,Low
203,94,138,2026-01-25 06:46:00,60.254.254.219,Canada,SSO,Success,Low
204,20,78,2026-03-25 23:17:00,78.188.151.51,UK,SSO,Success,Low
205,11,64,2026-03-02 05:40:00,124.229.60.249,USA,Password,Success,Medium
206,99,106,2026-02-16 23:14:00,63.7.161.124,UK,Password,Success,Medium
207,18,32,2026-06-11 14:29:00,105.88.13.248,UK,Password,Success,Medium
208,73,81,2026-01-30 06:41:00,54.220.104.82,India,MFA,Success,Medium
209,77,59,2026-01-16 03:02:00,52.210.155.225,India,SSO,Success,Medium
210,34,69,2026-04-13 10:49:00,7.212.18.115,USA,MFA,Success,Low
211,71,120,2026-04-06 02:22:00,22.75.83.185,USA,SSO,Success,High
212,74,117,2026-02-06 10:53:00,110.88.59.24,USA,MFA,Success,Low
213,5,89,2026-01-08 04:48:00,182.98.105.224,UK,SSO,Success,Low
214,64,52,2026-06-23 02:24:00,114.236.67.163,India,Password,Success,Low
215,63,68,2026-01-11 22:16:00,109.14.43.78,Canada,Password,Success,Low
216,71,113,2026-05-23 04:35:00,148.136.192.114,UK,MFA,Success,Medium
217,23,4,2026-03-19 17:37:00,170.183.31.115,Canada,SSO,Success,Low
218,2,149,2026-06-29 19:23:00,20.77.61.85,UK,MFA,Success,Low
219,18,27,2026-02-06 12:06:00,253.102.190.42,Canada,MFA,Success,Low
220,82,70,2026-01-28 08:48:00,78.174.144.13,India,Password,Success,Low
221,71,113,2026-06-22 12:22:00,37.219.132.190,India,SSO,Failure,High
222,94,109,2026-06-13 20:56:00,172.62.99.62,USA,SSO,Failure,Low
223,35,9,2026-02-12 03:36:00,12.188.1.37,India,Password,Success,Low
224,13,23,2026-02-17 05:30:00,11.167.96.163,India,SSO,Success,Medium
225,1,97,2026-06-10 23:26:00,207.194.102.138,UK,SSO,Success,Medium
226,38,136,2026-04-22 10:28:00,211.110.188.62,UK,Password,Success,Low
227,24,132,2026-05-21 16:00:00,192.201.93.247,India,SSO,Success,Low
228,87,143,2026-06-20 09:12:00,173.75.144.200,UK,SSO,Success,Low
229,74,144,2026-05-16 19:03:00,205.201.220.118,India,Password,Success,High
230,15,12,2026-05-28 06:00:00,104.99.150.14,USA,MFA,Success,Low
231,8,102,2026-04-20 13:34:00,104.236.233.93,Canada,MFA,Success,Low
232,70,88,2026-01-14 18:10:00,125.200.15.83,USA,Password,Success,Low
233,69,115,2026-02-23 22:29:00,83.99.53.150,UK,MFA,Success,Low
234,5,89,2026-01-13 18:05:00,208.97.96.41,Canada,MFA,Success,Medium
235,52,28,2026-06-02 17:29:00,50.220.76.27,USA,SSO,Success,Medium
236,79,114,2026-04-07 22:07:00,191.106.171.34,UK,SSO,Success,Low
237,93,105,2026-04-06 13:10:00,208.252.30.240,India,Password,Success,Low
238,19,122,2026-05-18 07:57:00,113.242.46.157,USA,MFA,Failure,Low
239,83,34,2026-04-24 02:31:00,68.155.94.66,USA,MFA,Success,Low
240,88,146,2026-01-13 02:05:00,67.214.51.1,USA,Password,Success,Low
241,82,70,2026-02-10 11:34:00,86.106.42.18,India,MFA,Success,Medium
242,41,74,2026-03-08 12:11:00,86.83.74.45,India,Password,Success,Low
243,25,40,2026-05-01 22:51:00,255.118.222.62,USA,SSO,Success,Low
244,24,132,2026-02-21 03:53:00,103.110.26.148,UK,SSO,Failure,Medium
245,47,43,2026-03-12 16:03:00,161.104.228.44,India,SSO,Success,Medium
246,76,48,2026-01-24 19:02:00,192.104.140.221,Canada,Password,Success,Low
247,20,78,2026-05-16 03:47:00,179.247.189.231,USA,MFA,Success,Low
248,10,108,2026-05-15 19:10:00,113.26.254.233,Canada,Password,Success,Low
249,38,136,2026-02-17 19:41:00,5.9.219.183,USA,MFA,Success,Low
250,17,139,2026-02-02 00:52:00,200.176.23.49,India,Password,Success,Medium
251,25,40,2026-06-03 03:56:00,201.96.122.165,India,SSO,Success,Low
252,11,30,2026-04-21 19:56:00,4.115.114.64,Canada,Password,Failure,Low
253,79,114,2026-06-28 03:49:00,13.201.192.251,UK,SSO,Success,Low
254,51,50,2026-03-18 03:38:00,236.230.138.217,UK,SSO,Success,Low
255,34,75,2026-04-27 08:22:00,168.119.156.38,Canada,SSO,Success,Low
256,69,47,2026-01-10 13:59:00,107.33.147.38,USA,MFA,Success,Low
257,69,125,2026-01-03 23:02:00,58.135.42.82,India,Password,Success,Low
258,22,11,2026-03-12 12:20:00,109.119.134.23,India,MFA,Success,Medium
259,93,101,2026-04-25 11:34:00,79.241.222.218,UK,SSO,Success,Low
260,44,16,2026-01-23 16:11:00,57.249.0.232,USA,Password,Failure,High
261,30,73,2026-06-22 10:41:00,140.252.183.1,UK,SSO,Success,Medium
262,59,147,2026-06-11 13:23:00,157.183.208.166,Canada,Password,Success,High
263,89,90,2026-05-03 11:36:00,116.242.174.63,UK,SSO,Success,Medium
264,5,96,2026-01-06 05:38:00,14.57.2.173,India,SSO,Success,Low
265,33,128,2026-01-21 10:29:00,60.246.20.246,UK,SSO,Success,Low
266,69,115,2026-05-13 12:45:00,209.170.236.252,Canada,MFA,Success,Low
267,65,2,2026-06-25 17:19:00,185.127.222.246,USA,SSO,Success,Low
268,6,60,2026-04-10 10:06:00,18.120.22.238,USA,MFA,Failure,Low
269,65,131,2026-05-20 04:57:00,15.208.225.198,India,Password,Success,Low
270,74,117,2026-05-12 17:24:00,18.195.242.174,India,MFA,Success,Low
271,80,129,2026-04-29 19:19:00,2.56.57.187,USA,MFA,Success,Low
272,66,8,2026-02-25 10:15:00,23.82.226.60,UK,MFA,Success,High
273,71,120,2026-05-31 14:50:00,135.102.247.243,India,MFA,Failure,Low
274,99,106,2026-04-06 23:26:00,39.101.232.132,Canada,Password,Success,Low
275,34,124,2026-06-19 11:38:00,38.195.95.92,UK,SSO,Success,Low
276,13,140,2026-02-01 19:59:00,118.72.95.230,India,SSO,Success,Low
277,83,34,2026-01-28 11:15:00,250.181.205.24,USA,MFA,Success,High
278,100,103,2026-02-01 04:45:00,35.106.10.13,USA,SSO,Success,High
279,38,86,2026-02-05 05:40:00,213.37.78.243,USA,SSO,Success,Medium
280,72,76,2026-06-07 23:24:00,98.100.6.33,UK,SSO,Success,Low
281,100,7,2026-03-08 15:41:00,28.207.90.53,USA,MFA,Success,Low
282,100,103,2026-05-17 20:32:00,87.63.11.80,UK,SSO,Failure,Low
283,7,17,2026-06-19 05:34:00,5.27.202.242,USA,MFA,Success,Low
284,54,98,2026-05-10 23:11:00,210.118.193.129,India,Password,Success,Low
285,59,112,2026-04-24 03:29:00,131.208.45.47,UK,Password,Success,Medium
286,88,77,2026-02-24 15:30:00,150.210.192.65,USA,MFA,Success,Low
287,10,85,2026-02-04 16:04:00,32.24.203.226,India,SSO,Success,Low
288,54,98,2026-03-23 18:15:00,28.171.195.98,Canada,MFA,Success,Low
289,94,138,2026-03-19 00:22:00,6.236.20.216,USA,SSO,Success,Low
290,94,15,2026-06-25 01:06:00,116.85.254.141,Canada,MFA,Success,Low
291,27,148,2026-04-22 09:30:00,140.130.204.159,UK,Password,Success,Low
292,56,39,2026-06-19 12:59:00,96.242.10.67,Canada,MFA,Success,Low
293,69,47,2026-03-30 02:33:00,43.151.135.51,UK,MFA,Failure,Low
294,71,113,2026-06-10 05:02:00,208.47.210.214,UK,SSO,Failure,Low
295,5,25,2026-03-19 19:05:00,159.78.5.16,India,Password,Success,Low
296,48,57,2026-04-24 17:01:00,177.58.140.35,USA,SSO,Failure,Low
297,19,142,2026-01-18 23:33:00,98.45.193.10,Canada,SSO,Success,Low
298,56,18,2026-05-09 11:16:00,187.155.0.180,USA,MFA,Success,Low
299,100,103,2026-01-13 16:00:00,107.249.158.78,India,MFA,Success,Low
300,11,130,2026-05-29 13:04:00,138.107.242.161,UK,Password,Success,Low
301,13,23,2026-02-26 00:27:00,238.119.135.72,India,MFA,Failure,Medium
302,20,78,2026-03-11 11:59:00,202.255.236.176,UK,SSO,Success,Low
303,13,72,2026-06-17 03:46:00,186.169.163.58,USA,Password,Success,Low
304,65,2,2026-05-31 20:06:00,181.174.23.61,India,MFA,Success,High
305,34,69,2026-06-28 02:49:00,162.122.225.43,UK,MFA,Success,Medium
306,6,60,2026-05-14 05:26:00,24.71.111.202,Canada,Password,Success,Low
307,41,74,2026-06-27 18:55:00,213.190.42.128,India,SSO,Success,Low
308,53,92,2026-06-24 04:24:00,173.12.60.227,USA,SSO,Success,Low
309,13,72,2026-01-17 19:30:00,105.193.153.241,India,Password,Success,High
310,94,15,2026-04-13 22:18:00,190.162.34.179,USA,Password,Success,Medium
311,66,8,2026-03-06 04:17:00,49.9.238.219,USA,Password,Success,Low
312,80,67,2026-04-29 01:09:00,64.26.60.97,USA,SSO,Success,Low
313,100,7,2026-03-14 02:54:00,206.108.149.13,India,MFA,Failure,High
314,59,147,2026-05-20 03:37:00,46.254.126.52,Canada,SSO,Success,Low
315,100,103,2026-06-15 03:49:00,71.232.31.56,India,SSO,Success,Low
316,42,20,2026-05-04 21:13:00,189.232.120.140,USA,SSO,Success,High
317,24,150,2026-02-07 05:06:00,99.37.36.129,USA,Password,Success,Low
318,93,101,2026-02-04 17:27:00,52.182.226.129,UK,Password,Success,High
319,100,7,2026-01-16 17:16:00,156.144.162.183,Canada,MFA,Success,High
320,7,41,2026-06-03 02:20:00,152.55.116.238,USA,MFA,Success,Low
321,14,94,2026-04-01 08:42:00,13.137.25.229,USA,SSO,Success,Low
322,34,69,2026-06-22 12:58:00,196.170.177.19,India,SSO,Success,Medium
323,24,132,2026-01-25 04:41:00,110.185.20.129,India,MFA,Failure,Low
324,69,125,2026-06-10 11:42:00,121.161.245.164,UK,SSO,Success,Low
325,19,142,2026-05-08 10:24:00,234.8.2.166,Canada,Password,Success,Low
326,48,57,2026-02-28 08:46:00,179.54.217.215,India,MFA,Success,Low
327,11,64,2026-01-12 14:55:00,72.196.150.219,UK,Password,Success,Low
328,37,10,2026-05-15 13:40:00,101.221.35.61,UK,Password,Success,Low
329,14,94,2026-06-14 21:53:00,14.181.72.46,Canada,SSO,Success,Medium
330,66,8,2026-04-30 14:39:00,174.85.216.93,India,SSO,Success,Medium
331,42,20,2026-02-07 22:54:00,166.249.5.95,Canada,Password,Success,Low
332,33,35,2026-03-20 10:21:00,95.146.229.158,India,Password,Success,Low
333,56,126,2026-04-23 21:50:00,71.168.82.20,India,SSO,Success,Low
334,5,25,2026-04-11 05:23:00,175.10.157.11,Canada,Password,Failure,Low
335,5,25,2026-06-21 00:35:00,28.163.59.122,India,MFA,Failure,Low
336,49,63,2026-06-15 16:16:00,58.194.226.250,USA,SSO,Success,Medium
337,79,114,2026-03-25 20:24:00,205.131.64.100,India,MFA,Success,Low
338,52,28,2026-05-05 23:26:00,173.60.116.207,India,MFA,Success,Medium
339,1,54,2026-03-28 05:54:00,190.112.103.159,USA,SSO,Success,Low
340,98,93,2026-06-30 21:40:00,213.120.63.57,UK,SSO,Success,Low
341,15,12,2026-06-21 05:28:00,254.29.170.33,USA,MFA,Success,Low
342,13,72,2026-03-18 12:11:00,14.253.58.113,UK,Password,Success,Medium
343,1,54,2026-05-11 13:49:00,34.199.32.222,UK,SSO,Success,Medium
344,11,130,2026-01-12 07:32:00,157.17.17.63,USA,MFA,Success,Low
345,72,76,2026-03-25 00:24:00,154.171.213.118,India,MFA,Success,Low
346,47,135,2026-05-11 15:54:00,130.246.63.27,Canada,SSO,Success,Low
347,21,1,2026-04-03 13:26:00,64.124.217.44,Canada,SSO,Success,Low
348,69,115,2026-06-16 00:17:00,212.235.117.191,UK,Password,Success,Low
349,53,37,2026-06-17 09:25:00,107.203.110.21,India,Password,Success,High
